model,rmse,r2,train_rows,test_rows,train_terms,test_terms
LightGBM,0.27729263086904515,0.35653601679547786,61253,15738,44,12
XGBoost,0.2787686983031222,0.34966728626575494,61253,15738,44,12
RandomForest,0.2878968266785639,0.3063804228807284,61253,15738,44,12
